mouse,Timepoint,Vaccination,Lung_CFU,Spleen_CFU
SAL09,D56,SAL,4.852784869,4.511883361
SAL10,D56,SAL,5.540173,3.243038049
SAL11,D56,SAL,4.980571448,4.494850022
SAL12,D56,SAL,5.072341822,4.511883361
SAL13,D56,SAL,5.085914629,4.67669361
SAL14,D56,SAL,5.314393957,4.720159303
SAL15,D56,SAL,4.634729108,4.273001272
SAL16,D56,SAL,4.935759104,4.942008053
BCG09,D56,BCG,3.653212514,2.698970004
BCG10,D56,BCG,3.954242509,3.795880017
BCG11,D56,BCG,4.051152522,2.875061263
BCG12,D56,BCG,4.653212514,3.544068044
BCG13,D56,BCG,4.634729108,3.929418926
BCG14,D56,BCG,4.142232992,4.210853365
BCG16,D56,BCG,5.176091259,3.860338007
SAL17,D114,SAL,5.369911285,4.882239848
SAL19,D114,SAL,6.102305045,5.243038049
SAL18,D114,SAL,5.670941281,5.287241711
SAL20,D114,SAL,5.551754873,5.536242707
SAL21,D114,SAL,5.679541452,5.602059991
SAL23,D114,SAL,5.73539927,5.449092531
SAL22,D114,SAL,5.477121255,5.467977875
SAL24,D114,SAL,6.434369274,6
BCG17,D114,BCG,5.105510185,4.68797462
BCG19,D114,BCG,4.875061263,4.176091259
BCG18,D114,BCG,5.670941281,4.875061263
BCG20,D114,BCG,5.841202996,5.327358934
BCG21,D114,BCG,4.926213786,4.829303773
BCG23,D114,BCG,4.817069316,4.750122527
BCG25,D114,BCG,5.644069134,5
BCG22,D114,BCG,4.574031268,4.812913357
BCG24,D114,BCG,5.051152522,5.210853365