mouse,Vaccination,Timepoint,percent_lesion
SAL09,SAL,D56,32.8307992
SAL10,SAL,D56,27.90608534
SAL11,SAL,D56,24.12946059
SAL12,SAL,D56,16.58537242
SAL13,SAL,D56,15.29381933
SAL14,SAL,D56,17.53286955
SAL15,SAL,D56,24.39828947
SAL16,SAL,D56,8.726225994
BCG09,BCG,D56,10.39244868
BCG10,BCG,D56,3.973365794
BCG11,BCG,D56,6.710699279
BCG12,BCG,D56,14.36617349
BCG13,BCG,D56,23.30953079
BCG14,BCG,D56,2.202354292
BCG16,BCG,D56,1.498205051
SAL17,SAL,D114,33.70411067
SAL18,SAL,D114,31.65077006
SAL19,SAL,D114,27.79375478
SAL20,SAL,D114,28.18291752
SAL21,SAL,D114,18.45107699
SAL22,SAL,D114,30.18793265
SAL23,SAL,D114,16.50911392
SAL24,SAL,D114,64.58169269
BCG17,BCG,D114,15.98336552
BCG18,BCG,D114,26.85151153
BCG19,BCG,D114,12.65256989
BCG20,BCG,D114,26.9428684
BCG21,BCG,D114,31.59731673
BCG22,BCG,D114,14.16533412
BCG23,BCG,D114,43.31374363
BCG24,BCG,D114,19.23111359
BCG25,BCG,D114,7.705064618